                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85108,                 2.0121,                 1.3979,                0.29872,                0.46528,                 0.3125,                0.08651,                 2.0852,                 2.9474,                  3.025,             0.00055213,             0.00055213,             0.00055213
                      2,                0.80971,                 1.6168,                 1.3522,                0.66446,                0.22826,                0.21576,                 0.0614,                 2.0462,                 2.8081,                 3.0595,              0.0010347,              0.0010347,              0.0010347
                      3,                0.79808,                  1.505,                 1.3303,                0.23428,                0.42018,                0.23089,                 0.0883,                  2.082,                 2.5871,                  2.972,              0.0014439,              0.0014439,              0.0014439
                      4,                0.78423,                   1.44,                 1.3313,                0.32963,                0.49221,                0.33311,                0.11904,                 1.8456,                 2.4438,                 2.8103,              0.0013369,              0.0013369,              0.0013369
                      5,                0.74242,                 1.3913,                 1.2972,                0.42711,                0.51857,                0.39161,                0.14816,                 1.9505,                 2.2767,                 2.9165,              0.0013369,              0.0013369,              0.0013369
                      6,                 0.7569,                 1.3634,                 1.3804,                 0.3199,                0.52336,                0.36593,                0.11772,                 1.9548,                 2.2732,                 2.8942,              0.0012269,              0.0012269,              0.0012269
                      7,                0.72677,                 1.2956,                 1.3434,                0.39808,                0.59896,                0.36871,                0.15221,                 1.8801,                 2.0932,                  2.723,              0.0011169,              0.0011169,              0.0011169
                      8,                0.68999,                  1.223,                  1.319,                0.40133,                0.55997,                0.48842,                0.20138,                 1.6707,                 1.8746,                 2.6107,              0.0010069,              0.0010069,              0.0010069
                      9,                0.67795,                  1.206,                  1.306,                0.55326,                0.56772,                0.52792,                0.22545,                 1.7953,                 1.7809,                 2.7031,             0.00089685,             0.00089685,             0.00089685
                     10,                0.66853,                  1.182,                 1.2935,                0.47668,                0.56976,                0.50816,                0.18436,                 1.9145,                 1.9237,                 2.8658,             0.00078682,             0.00078682,             0.00078682
                     11,                0.63828,                 1.1319,                 1.2688,                0.48669,                 0.4596,                0.47137,                0.20319,                 1.7946,                 1.7902,                  2.756,              0.0006768,              0.0006768,              0.0006768
                     12,                0.62402,                 1.1035,                 1.2527,                0.58259,                0.42359,                0.51814,                0.24378,                 1.7836,                 1.6519,                 2.6725,             0.00056678,             0.00056678,             0.00056678
                     13,                0.59664,                  1.053,                 1.2327,                0.57488,                0.56279,                0.57555,                0.26349,                 1.7468,                 1.5957,                 2.6235,             0.00045676,             0.00045676,             0.00045676
                     14,                0.57896,                 1.0237,                  1.219,                0.63558,                0.55411,                0.57053,                0.28548,                 1.6315,                 1.5608,                 2.4942,             0.00034674,             0.00034674,             0.00034674
                     15,                0.56003,                 1.0028,                 1.2038,                0.57127,                0.60432,                0.55941,                0.25803,                 1.6685,                 1.6332,                 2.5116,             0.00023671,             0.00023671,             0.00023671
